Model,Validation MSE,Validation MAE
Custom CNN,0.0011,0.0253
InceptionV3,0.0326,0.1385
MobileNetV2,0.0478,0.1722
EfficientNetB0,0.0816,0.2550
ResNet50,0.0978,0.2757
