Dataset,Model,Mean Error (mm),SR@2.0mm (%),SR@2.5mm (%),SR@3.0mm (%),SR@4.0mm (%)
FRONTAL,Custom CNN,0.5330,97.9624,98.5893,98.5893,98.9028
PROFILE,Custom CNN,0.5122,99.3103,100.0000,100.0000,100.0000
